nom_entreprise,secteur,taille,ville_siege,site_web,type
DigitServices SA,E-commerce,PME,Kénitra,www.digitservices.ma,ESN (SSII)
DataSolutions SARL,Industrie,Grande Entreprise,Tanger,www.datasolutions.ma,ESN (SSII)
AtlasConsulting SA,E-commerce,PME,Kénitra,www.atlasconsulting.ma,Département IT Interne
OmniTechnologies SARL,Banque/Finance,PME,Casablanca,www.omnitechnologies.ma,Département IT Interne
TechSoft SARL,E-commerce,PME,Casablanca,www.techsoft.ma,ESN (SSII)
DataData SARL,Industrie,Startup,Casablanca,www.datadata.ma,Département IT Interne
SmartConsulting SARL,Télécoms,Startup,Fès,www.smartconsulting.ma,ESN (SSII)
DigitIngénierie SARL,Industrie,PME,Casablanca,www.digitingénierie.ma,ESN (SSII)
TechSolutions Morocco,Industrie,PME,Casablanca,www.techsolutions.ma,Editeur de Logiciels
Inetum SAS,Industrie,Grande Entreprise,Casablanca,www.inetum.ma,ESN (SSII)
MedIngénierie SARL,Banque/Finance,PME,Agadir,www.medingénierie.ma,Cabinet de Conseil
DXC Technology Morocco,Télécoms,Grande Entreprise,Rabat,www.dxctechnology.ma,ESN (SSII)
IBM SAS,Assurance,Grande Entreprise,Casablanca,www.ibm.ma,ESN (SSII)
SidiSolutions SARL,Banque/Finance,PME,Casablanca,,Département IT Interne
AtlasIngénierie SARL,E-commerce,PME,CASABLANCA,www.atlasingénierie.ma,ESN (SSII)
Omnidata SARL,,PME,Casablanca,www.omnidata.ma,Cabinet de Conseil
SidiSoft SARL,Banque/Finance,PME,Casablanca,,ESN (SSII)
DigitSoft SA,Industrie,Grande Entreprise,Casablanca,,Cabinet de Conseil
OmniSoft SARL,Assurance,Startup, Rabat,www.omnisoft.ma,ESN (SSII)
MedConsulting SARL,Secteur Public,PME,Tanger,www.medconsulting.ma,Département IT Interne
SmartTechnologies SARL,E-commerce,PME,Casablanca,www.smarttechnologies.ma,ESN (SSII)
AtlasServices SARL,Industrie,PME,Rabat,www.atlasservices.ma,Editeur de Logiciels
MedSoft SARL,Industrie,Grande Entreprise,Oujda,www.medsoft.ma,Editeur de Logiciels
MaghrebData SARL,Banque/Finance,PME,Casablanca,www.maghrebdata.ma,ESN (SSII)
OmniSystems SARL,Industrie,PME,Rabat,www.omnisystems.ma,ESN (SSII)
MaghrebIngénierie SARL,Secteur Public,PME,Rabat,www.maghrebingénierie.ma,ESN (SSII)
SmartConsulting SARL,Banque/Finance,PME, Casablanca,www.smartconsulting.ma,Cabinet de Conseil
MarocSystems SARL,Secteur Public,Startup,Meknès,www.marocsystems.ma,Cabinet de Conseil
Sopra Steria SARL,Secteur Public,PME,Casablanca,,ESN (SSII)
SmartSystems SARL,Secteur Public,PME,Casablanca,www.smartsystems.ma,Cabinet de Conseil
Oracle SA,Télécoms,Grande Entreprise,Casablanca,,ESN (SSII)
AtlasSoft SARL,Secteur Public,PME, Tanger,,ESN (SSII)
OmniIngénierie SARL,Banque/Finance,Startup,Casablanca,www.omniingénierie.ma,Cabinet de Conseil
